projectId,orgName,foundation
edd4966c-44bb-4e1a-9c6d-15b0cb901b7e,Ai Powered Mainframe Data Modernization,Linux Foundation
6374af21-c973-4cd8-82ba-829285f5f259,Bgp-Ls Cli Dev & Testing On 7-Node Vsonic Topo,Linux Foundation
cf8ae106-0ff8-4bf9-a5fc-21058b7ad15f,Enable Isis Functionality On Sonic,Linux Foundation
d4c3f013-0e28-4f49-94ad-9c491a456a91,Formal Methods For Comprehensive Testing Of Bgp Link-State,Linux Foundation
9e4231e4-0581-4a8e-ad53-95dde3118d8b,Formal Methods For Refactoring,Linux Foundation
e27c5963-4a4c-4d17-98de-94d66eb8a2d6,Advanced Threshold Key Management,Linux Foundation
b0a24d64-fc7d-4a9c-8314-9c282298e904,Build And Release A Java Sdk For Paladin,Linux Foundation
377bd7ec-c2fb-4903-acbf-7e0ead11aca0,Continuous Benchmarking For Besu Evm,Linux Foundation
10b9b110-954e-4bde-aca3-3554b15aec02,Hyperledger Fabric,LF Decentralized Trust
9afaacd2-76ad-4758-8ae7-c0d4a2823f9a,Extending Hiero Enterprise Java With Smart Contract Event And Log Apis,Linux Foundation
a76b030e-6508-417d-af67-20b841740850,Fablo,LF Decentralized Trust
b2f9f5bd-f597-4176-b577-7be0d6c49076,Hyperledger Fabric,LF Decentralized Trust
179d1abb-3600-4f7a-a55d-342e7c9921b4,Hiero Github Workflow App,Linux Foundation
64c64daa-ffdb-4871-82f5-01c1bdc7fecc,Hiero,Linux Foundation
b4cec9b4-57a5-494d-ab09-eeec7c29b85d,Hiero,Linux Foundation
851ff636-3a15-4f95-9c6c-9f68ad7500bb,Hyperledger Fabric,LF Decentralized Trust
bd715ae9-8c79-474f-b9a4-dd19811bc4f9,Hyperledger Fabric,LF Decentralized Trust
b6136790-ac29-467a-943d-335124e58b4d,Hyperledger Identus - Identity Portal,LF Decentralized Trust
28b166f8-befe-4c97-aaf1-652a48f24dcb,Hyperledger Fabric,LF Decentralized Trust
0bc24781-b769-4808-8493-4a6066fecb9f,Implement Dkls23  Protocol,Linux Foundation
cf3aa0ed-f564-44fd-b11d-ef3fec61e798,Hyperledger Fabric,LF Decentralized Trust
ab089edb-738d-4cdb-bbdb-e0ce2c17f57f,"Improve Usability, Maintainability, And Contributor Experience Of Hyperledger Cacti",LF Decentralized Trust
c4b8a03c-8e33-4c08-b73d-62d27f6ac565,Improving Hyperledger Solang Through Comparative Analysis With The Soroban Rust Sdk,LF Decentralized Trust
d2499f9a-bf9d-4e06-87b0-8dc203102e4b,Refactoring And Evolution Of The Besu Plugin Api,Linux Foundation
7df3d0b5-7abb-41c1-9211-edc9508e3aa7,"Research Composable Token Primitives For Post-Trade Clearing, Settlement, Compliance On Dlt",Linux Foundation
74a0fdce-5afe-461d-b95b-23a2e38f6171,T-Claw,Linux Foundation
54546ffa-df1d-4985-a366-0e03780f5208,Web3J Libraries Full Lifecycle Development,Linux Foundation
6b06180d-fb50-4913-8712-2f920aaf4b77,Mainframe Modernization Whitepaper,Linux Foundation
40b209ce-c759-4648-9d83-31db4ba1d481,Minder 2026,Linux Foundation
126a81c8-2974-40cf-9ea8-2a12f173b923,Mirror Serial Console Traffic In Sonic,Linux Foundation
d86d1ade-43c7-4474-b44e-a236fe5249c2,Multi-Asic T1 And T2 Pr Checker,Linux Foundation
ca5d64e3-e355-4471-8a47-dce23008c55d,Platform Driver Development Framework Improvements,Linux Foundation
8c05d93f-d7ba-45ba-8839-a6d591d3d9d2,Repository Service For Tuf  2026,Linux Foundation
71ff362f-9d94-4d65-bc48-5ec1192888fa,Role Of Ai In Mainframe Application Modernization,Linux Foundation
f98657eb-2308-4810-ab91-ddc79983419a,Role Of Mainframes In Digital Sovereignty And Resilience,Linux Foundation
56339350-7967-4d3b-8b2f-dd6f4def41ad,Sbomit 2026,Linux Foundation
c7e7d9d0-1e04-40e9-a9b6-5424bdae672e,Sonic Test Runtime Optimization,Linux Foundation
a7585ee8-a3a7-4623-b668-9f4e6ec26798,Shadow Analytics Via Redis Replica,Linux Foundation
4a85831f-5288-4b82-b1ae-cc4b1eda2b95,Simplify Platform And Device Management,Linux Foundation
8d6e8a25-11fe-4635-bffe-6c122605eeee,Top-N Interface Traffic Visibility Feature In Sonic,Linux Foundation
16323173-0a18-46bc-9c06-6a09d99fddbe,Using Formal Methods For Comprehensive Malformed Packet Handling In Bgp Implementations,Linux Foundation
86dde479-923f-44da-aba0-bd786a078602,Gittuf-2026,Linux Foundation
f6ce2e3c-27c3-44dd-b318-074b37de9d07,Ai-Assisted Extraction Of Architectural Parameters From Risc-V Specifications,Linux Foundation
1809398d-6c7b-4f30-add5-90e784a35d89,"Add F-Extension Support To ""Ripes"" Risc-V Micro-Architectural Visual Educational Simulator",Linux Foundation
fd4fd9ab-7cb1-4763-9bd5-9c9362c6dbfc,Aether Mentorship Program,Linux Foundation
31957b4f-1b8c-4877-aa94-b1c3997bc32b,All In,Linux Foundation
4df8fab8-e11a-4877-8140-c3633099ea24,Alpha-Omega,Linux Foundation
44a5b622-199f-490b-9d7a-176524e80e38,Alternate Numerical Notations For Risc-V,Linux Foundation
caee5709-e496-4a32-a4ff-f91c3269d97d,Atomic Nucleusrv,Linux Foundation
3b3c7cc0-4e2e-4ac2-9e54-2fa206c68b36,Basic Azure Pipeline With Alpine And Kne,Linux Foundation
d2429c71-6a57-4de1-ba57-ac4f808d020c,"Bringing The ""Sliderules"" Cheat Sheets To The Web",Linux Foundation
8595d01a-5c70-4a3c-ad73-9ae9b08e55df,Ccc - Certifier Framework,Linux Foundation
a779bae4-dc15-402b-ba2d-3fda6523c3ce,Ccc - Veraison,Linux Foundation
cd8810bf-e2cf-43fa-b727-3d2b08021434,Cdp 2-Way Communications,Linux Foundation
99e8e0a0-4d82-4ac5-88bc-55b1d1a2c1f4,Antrea,CNCF
62d69fd5-6c90-4ba1-b260-a5dc247fc3cf,Antrea,CNCF
39be2843-94f8-4ac6-aa0a-3537631aca86,Antrea,CNCF
7dc05f9c-b90d-4fe0-bf43-d6bf10ea29a2,Antrea,CNCF
25ea21de-7f06-43ae-a4a6-52262ce1193c,Buildpacks,CNCF
386ea576-b9a6-4fad-b76d-f954daefbf1f,Buildpacks,CNCF
de67557d-4c27-4ca6-9c93-015636d28682,Cartography,CNCF
28c3d20f-2bb6-42d1-93b5-45bdb33c72bf,Cartography,CNCF
6e60c1da-b78a-40c5-b527-613c00375e72,Cartography,CNCF
1d49ebad-29fa-430c-8492-44f29ee61cc1,Chaos Mesh,CNCF
8db683b0-0273-4a83-9ed9-4c33ee2cfcf0,Chaos Mesh,CNCF
854310e3-e1ac-472c-945f-97bb16bc1aca,Cilium,CNCF
8c677ed1-cec0-44b7-93aa-60f90ddb7949,Cilium,CNCF
ab291439-bfbe-411f-ae31-91e552f01e66,Cilium,CNCF
0858ce07-0c90-47fa-a1a0-95c6762f00ff,Cloudnativepg,CNCF
53fa853e-b5fa-4d68-be71-f005c75aea89,Cloudnativepg,CNCF
86a647c1-88c7-474f-b093-6abb58197083,Cloudnativepg,CNCF
a4839420-3881-46cd-849a-f57784158f49,Copacetic,CNCF
faccbbff-f651-4bc5-a825-be0f395315c9,Cortex,CNCF
55f5e428-bf78-480d-81db-55eef0c4d293,Crossplane,CNCF
febb9f7b-8516-41b5-8815-770d333ac978,Drasi,CNCF
5c427ca3-19f3-4c66-887c-3a3489893300,Envoy Gateway,CNCF
26709fdd-cf31-4643-ba12-88c0a47530ca,Fluid,CNCF
44b75328-8f4b-48f0-a4d5-c8c6d5e86a0a,Fluid,CNCF
daf54f56-a7e6-48a8-ab9f-45915d05a203,Fluid,CNCF
f6cffefc-f326-4313-bc1d-3f44111c2938,Harbor,CNCF
c445172e-5a5f-41f9-b4eb-89cbfe2f3434,Harbor,CNCF
89a4b97d-77c7-4b57-907b-6bc746389b87,Harbor,CNCF
19eb2e9d-df35-4a19-a0dd-cf42103a9a5d,Harbor,CNCF
0d80c83f-259b-46e7-98af-47406891649a,Harbor,CNCF
6e2de11e-5baf-4c55-b3ea-4bec95e16fc2,Harbor,CNCF
b0ef2748-ab96-4c81-b824-14a400c29b5c,Harbor,CNCF
98096893-507a-4c78-a46a-e7541b441e2d,Harbor,CNCF
250e2884-e196-4788-b8dd-fe9c5edb237d,Headlamp,CNCF
abe20383-80fd-496c-8a5a-453fcb732f55,Headlamp,CNCF
2f08a480-7e37-46f0-ab29-f3d18669dd17,Headlamp,CNCF
62e272ef-e950-45dd-9c57-71d216d22ed2,Headlamp,CNCF
5ca70394-f568-4bbf-a88d-4e5af8b235cf,Headlamp,CNCF
1b9a4a99-2d92-4c1a-ac34-7fe554bf6393,Headlamp,CNCF
b6178852-f18d-41e2-b352-c839b8570eae,Headlamp,CNCF
4d736149-aa95-4f31-b01c-a54c754614d0,Headlamp,CNCF
65719d46-b71f-4778-a29b-3bb878d6ec70,Inspektor Gadget,CNCF
a5f01d86-252f-48c2-90b7-c616dc5072d8,Inspektor Gadget,CNCF
557f553d-6cab-41e5-925e-c8063dc99d7e,Istio,CNCF
7a9cac67-6cfc-4915-bc39-8f2b5c1a4d00,Istio,CNCF
958b17bf-e4f2-42fc-a7f3-01d95c53ee73,Istio,CNCF
3c42c0b6-cd32-42ca-b32e-1865f42a9f21,Istio,CNCF
27ef67ba-24a4-4683-872e-d56bcc11d66a,Jaeger,CNCF
14c5fcdd-61b9-40a1-8a10-27a1bba76b3d,Jaeger,CNCF
216f0f5d-6a7a-45f1-9592-2336ce734b2c,Jaeger,CNCF
6816e614-2e9e-492e-9d28-c91506cde073,Jaeger,CNCF
d13df7c9-06d3-4589-bef8-c13e5c79c2a2,Jaeger,CNCF
59d5fb6c-153d-4e46-9d1f-2948641b0471,Kcl,CNCF
cda38f44-e4b4-4f86-8b5a-a89bc08ac34a,Kagent,CNCF
28f6a413-4190-40bd-9226-cdce5767e210,Karmada,CNCF
2fc906da-cc46-4606-8b8d-600b47ff0a95,Karmada,CNCF
cb8a5f0e-fdd4-4e6d-b937-b98b2c80381e,Karmada,CNCF
cf5e8dff-48ec-4ce6-ad92-cfb963f2d6b1,Karmada,CNCF
6b2d49dd-fcd3-480e-838d-7310d63c5823,Karmada,CNCF
5b276804-9268-44c8-b339-1699c04397eb,Karmada,CNCF
10cff3a7-3993-450f-a385-ebbcbf923805,Karmada,CNCF
1419023b-5f92-49af-a550-8cc25dc85290,Karmada,CNCF
38cafd48-6ffb-44e8-9ed1-5c467bc69fd2,Keptn,CNCF
d713bc73-3257-4d21-b533-97e0ccadf7bb,Kgateway,CNCF
347952bc-15c6-48f7-9c4e-aad7dffb3817,Kgateway,CNCF
2a955954-1a86-4835-be29-f4c70bfd77d2,Kmesh,CNCF
a72ca16e-c309-45b3-a2fe-40bdd5e8e754,Kmesh,CNCF
2df8e950-a1cc-4c2b-9cbe-15574ce001ad,Kmesh,CNCF
532690f7-802d-488e-a5e6-2e4ba532d189,Kmesh,CNCF
78522dca-df54-4fc6-a9f2-1ae05af77789,Kmesh,CNCF
54afaf17-4dc9-4783-9641-a95b5a33af9e,Knative,CNCF
414b7749-fe19-4874-a260-b6017c2c3242,Knative,CNCF
42557ffb-deb4-4b9f-a0b2-78f7f397216c,Knative,CNCF
92e42a9c-fc0a-46bf-8ca7-69ad673dcce0,Krkn,CNCF
e3a6c68a-d3c5-414d-91a2-3681f4bc4473,Krkn,CNCF
6f4f89b9-16e8-4cd5-933e-5478c32c448f,Kube State Metrics,CNCF
65cabd48-6a5a-4eb6-9e80-4420c152da6a,Kubearmor,CNCF
70f1ef34-7ddd-466d-a5bc-0f74e98c06f8,Kubearmor,CNCF
ca9220f2-1d8d-4977-80fd-068a6f756cc6,Kubearmor,CNCF
c0ae5caa-3c82-4b4a-8890-703278ca7fda,Kubearmor,CNCF
50cdbd65-e0cd-4c0f-8c63-6bd5c603ba89,Kubeedge,CNCF
82d71e63-2e1e-48d6-8c93-91c9e8bf8d5d,Kubeedge,CNCF
15043686-0866-4d5a-9016-3a6cbfd448fc,Kubeedge,CNCF
2e9d0538-0941-4f10-8c52-9afd6294e16e,Kubeedge,CNCF
cf597b73-56fd-45b8-a605-5bb73f6b838d,Kubeedge,CNCF
8cf4ff37-e638-4b73-a5a1-521806ac8db1,Kubeedge,CNCF
5f891584-5ffa-4f7c-87ca-765962d2d467,Kubeedge,CNCF
fe439c9b-819f-43c3-b42d-b9b0c0b7afb0,Kubeedge,CNCF
9826762a-9960-4310-9d94-8d626b387a1c,Kubeedge,CNCF
5ad92659-907e-45b6-8cac-e5531c4696bd,Kubeedge,CNCF
c066ac53-5435-4057-a84c-0e0be62e8b65,Kubeedge,CNCF
bd625cf2-dba9-4246-8c32-746fcc05c8e0,Kubeedge,CNCF
e7dd489f-a50e-4dd7-aad2-174112862118,Kubeedge,CNCF
c936cda3-d842-4286-a38a-7138d5b04f51,Kubeedge,CNCF
60e31adc-64b2-4ddf-9e09-01c64350aac1,Kubeedge,CNCF
446813c7-f2a6-4d81-ac64-ba407333fabe,Kubeedge,CNCF
6ea6aa02-023f-492f-addd-28087e9810a3,Kubeedge,CNCF
0afab514-1094-4363-b700-d5116b2d62de,Kubeedge,CNCF
617cbe05-da5f-4955-8745-28cce769d511,Kubeslice,CNCF
999f25bb-988c-48d5-a547-f353f8bcdf0d,Kubeslice,CNCF
db7a4bc3-3489-4ca9-9d6a-13f27fbee7fc,Kubeslice,CNCF
6123c24e-41ce-4335-88d1-dbd0f72e3631,Kubeslice,CNCF
77a6f9f0-bd0f-4eb4-9d37-408b517f9208,Kubestellar,CNCF
cf08311b-a7cf-4309-9989-5f85ba2b05b3,Kubestellar,CNCF
1cd69035-2bab-47f1-9774-952e9ec0d43e,Kubestellar,CNCF
72839cf1-1b27-4008-aa11-dfea483bd6ee,Kubestellar,CNCF
7a1357be-6d84-439a-8cad-4f9b90d491c9,Kubestellar,CNCF
d5499737-549b-498a-922a-695ef3955725,Kubestellar,CNCF
7b85c3fc-57ab-451d-a43a-c84251c4bc91,Kubestellar,CNCF
11478e3c-ac06-4d15-a11f-a7bf1f9994e3,Kubestellar,CNCF
b992256e-ed5f-44f3-8c13-8f3d8726fe00,Kubestellar,CNCF
1cf30f20-dea9-42ae-a115-2747d6755d9c,Kubestellar,CNCF
df6a6816-6c24-4464-98ca-38acc0764f83,Kubestellar,CNCF
a23f93b7-e384-4515-a165-c01e4ecd00ad,Kubestellar,CNCF
ee612f4c-ddb8-4f80-8692-3c975bc500a3,Kubestellar,CNCF
a56d987c-f754-4e2f-b159-2ea578ca5e56,Kubestellar,CNCF
cab6e242-33d5-427d-a408-9adff1a95271,Kubernetes,CNCF
e88fb12c-5943-4c16-becc-83b449b15e9f,Kubernetes,CNCF
b6b2b30f-1663-4902-a6a5-1c3ebd927a38,Kubernetes,CNCF
